category,file,cells,top_score
documents,0081.jpg,0,0.00000
documents,0130.jpg,0,0.00000
documents,0125.jpg,0,0.00000
documents,0027.jpg,0,0.00000
documents,0077.jpg,0,0.00000
documents,0141.jpg,1,0.00006
documents,0074.jpg,0,0.00000
documents,0031.jpg,0,0.00000
documents,0195.jpg,0,0.00000
documents,0192.jpg,0,0.00000
documents,0138.jpg,0,0.00000
documents,0052.jpg,2,0.04233
documents,0154.jpg,0,0.00000
documents,0162.jpg,0,0.00000
documents,0150.jpg,0,0.00000
documents,0073.jpg,0,0.00000
documents,0113.jpg,0,0.00000
documents,0172.jpg,0,0.00000
documents,0152.jpg,0,0.00000
documents,0098.jpg,0,0.00000
documents,0170.jpg,0,0.00000
documents,0147.jpg,0,0.00000
documents,0176.jpg,0,0.00000
documents,0164.jpg,1,0.08321
documents,0047.jpg,1,0.95690
documents,0179.jpg,0,0.00000
documents,0146.jpg,0,0.00000
documents,0008.jpg,3,0.07941
documents,0197.jpg,0,0.00000
documents,0121.jpg,0,0.00000
documents,0017.jpg,0,0.00000
documents,0022.jpg,0,0.00000
dtd,0347.jpg,31,0.24336
dtd,0387.jpg,29,0.57900
dtd,0066.jpg,3,0.27827
dtd,0448.jpg,2,0.11886
dtd,0076.jpg,36,0.95486
dtd,0019.jpg,0,0.00000
dtd,0431.jpg,1,0.82805
dtd,0041.jpg,2,0.15549
dtd,0358.jpg,6,0.01218
dtd,0424.jpg,82,0.98944
dtd,0276.jpg,2,0.00123
dtd,0349.jpg,18,0.10198
dtd,0200.jpg,0,0.00000
dtd,0428.jpg,2,0.03096
dtd,0361.jpg,10,0.08240
dtd,0268.jpg,31,0.98998
dtd,0141.jpg,0,0.00000
dtd,0267.jpg,0,0.00000
dtd,0415.jpg,6,0.05884
dtd,0120.jpg,0,0.00000
dtd,0434.jpg,1,0.01923
dtd,0110.jpg,18,0.07504
dtd,0301.jpg,8,0.02884
dtd,0422.jpg,0,0.00000
dtd,0214.jpg,10,0.08203
dtd,0296.jpg,79,0.83161
dtd,0140.jpg,25,0.47908
dtd,0230.jpg,19,0.96726
dtd,0252.jpg,14,0.81140
dtd,0338.jpg,2,0.00048
dtd,0328.jpg,0,0.00000
dtd,0406.jpg,0,0.00000
dtd,0182.jpg,0,0.00000
dtd,0042.jpg,1,0.59371
dtd,0166.jpg,1,0.84337
dtd,0313.jpg,12,0.16640
dtd,0059.jpg,5,0.07336
dtd,0249.jpg,0,0.00000
dtd,0300.jpg,10,0.18279
dtd,0322.jpg,15,0.96220
dtd,0171.jpg,0,0.00000
dtd,0432.jpg,0,0.00000
dtd,0097.jpg,18,0.99288
dtd,0124.jpg,0,0.00000
dtd,0008.jpg,0,0.00000
dtd,0374.jpg,1,0.00798
dtd,0138.jpg,9,0.41946
dtd,0112.jpg,162,0.99060
dtd,0190.jpg,2,0.01368
dtd,0087.jpg,0,0.00000
dtd,0170.jpg,1,0.16760
dtd,0218.jpg,43,0.08999
dtd,0417.jpg,11,0.91057
dtd,0031.jpg,48,0.28821
dtd,0051.jpg,4,0.01232
dtd,0400.jpg,7,0.22286
dtd,0074.jpg,0,0.00000
dtd,0437.jpg,2,0.00117
dtd,0357.jpg,0,0.00000
dtd,0023.jpg,28,0.40797
lfw,0293.jpg,2,0.26216
lfw,0324.jpg,5,0.05308
lfw,0273.jpg,3,0.03974
lfw,0308.jpg,3,0.03490
lfw,0348.jpg,5,0.02803
lfw,0037.jpg,1,0.01066
lfw,0013.jpg,6,0.06972
lfw,0063.jpg,1,0.00468
lfw,0325.jpg,1,0.00248
lfw,0096.jpg,1,0.01047
lfw,0310.jpg,3,0.12381
lfw,0294.jpg,1,0.02581
lfw,0061.jpg,3,0.14124
lfw,0200.jpg,5,0.11420
lfw,0046.jpg,9,0.04907
lfw,0189.jpg,1,0.00003
lfw,0059.jpg,2,0.00274
lfw,0018.jpg,1,0.01451
lfw,0011.jpg,2,0.00039
lfw,0099.jpg,0,0.00000
lfw,0094.jpg,3,0.02323
lfw,0367.jpg,2,0.01698
lfw,0245.jpg,0,0.00000
lfw,0107.jpg,0,0.00000
lfw,0372.jpg,5,0.22521
lfw,0031.jpg,5,0.10594
lfw,0347.jpg,0,0.00000
lfw,0278.jpg,1,0.04104
lfw,0217.jpg,2,0.02272
lfw,0317.jpg,2,0.01791
lfw,0051.jpg,0,0.00000
lfw,0133.jpg,8,0.02727
lfw,0035.jpg,0,0.00000
lfw,0113.jpg,1,0.07437
lfw,0036.jpg,16,0.91948
lfw,0331.jpg,8,0.19405
lfw,0154.jpg,4,0.00499
lfw,0179.jpg,2,0.00002
lfw,0223.jpg,5,0.03209
lfw,0092.jpg,3,0.76093
lfw,0257.jpg,4,0.00118
lfw,0239.jpg,6,0.01518
lfw,0020.jpg,4,0.02715
lfw,0305.jpg,2,0.01191
lfw,0358.jpg,2,0.00228
lfw,0102.jpg,5,0.21238
lfw,0183.jpg,3,0.02288
lfw,0374.jpg,4,0.05756
lfw,0240.jpg,0,0.00000
lfw,0291.jpg,1,0.04736
lfw,0086.jpg,5,0.01191
lfw,0357.jpg,1,0.00534
lfw,0344.jpg,5,0.23861
lfw,0104.jpg,3,0.00308
lfw,0392.jpg,2,0.04241
lfw,0029.jpg,3,0.08539
lfw,0346.jpg,1,0.00062
lfw,0081.jpg,3,0.03155
lfw,0082.jpg,1,0.01493
lfw,0175.jpg,1,0.00017
places,0542.jpg,18,0.63257
places,0256.jpg,6,0.64408
places,0120.jpg,8,0.02508
places,0611.jpg,9,0.60860
places,0452.jpg,30,0.89156
places,0681.jpg,12,0.53249
places,0179.jpg,1,0.00062
places,0013.jpg,7,0.68261
places,0482.jpg,32,0.71351
places,0697.jpg,13,0.08896
places,0419.jpg,10,0.81164
places,0582.jpg,12,0.46925
places,0520.jpg,27,0.61458
places,0318.jpg,9,0.11854
places,0664.jpg,2,0.10206
places,0365.jpg,1,0.03120
places,0397.jpg,48,0.80231
places,0673.jpg,6,0.06074
places,0157.jpg,3,0.00029
places,0574.jpg,14,0.07019
places,0012.jpg,10,0.68048
places,0468.jpg,7,0.24112
places,0080.jpg,17,0.35301
places,0343.jpg,14,0.39984
places,0046.jpg,4,0.08364
places,0557.jpg,2,0.69381
places,0287.jpg,0,0.00000
places,0138.jpg,5,0.08361
places,0245.jpg,7,0.09359
places,0493.jpg,14,0.87762
places,0360.jpg,7,0.38703
places,0624.jpg,4,0.05182
places,0294.jpg,6,0.52707
places,0689.jpg,19,0.50828
places,0367.jpg,2,0.05261
places,0604.jpg,17,0.45301
places,0648.jpg,4,0.00335
places,0635.jpg,5,0.53052
places,0135.jpg,15,0.34466
places,0317.jpg,17,0.82144
places,0424.jpg,20,0.91624
places,0666.jpg,4,0.02311
places,0082.jpg,5,0.90269
places,0001.jpg,15,0.82988
places,0608.jpg,0,0.00000
places,0196.jpg,3,0.07458
places,0342.jpg,13,0.84956
places,0163.jpg,9,0.02550
places,0228.jpg,13,0.11246
places,0652.jpg,13,0.79523
places,0458.jpg,4,0.96895
places,0387.jpg,9,0.25566
places,0581.jpg,13,0.21214
places,0032.jpg,30,0.76143
places,0411.jpg,17,0.61523
places,0428.jpg,3,0.29574
places,0678.jpg,10,0.99602
places,0047.jpg,5,0.90367
places,0169.jpg,10,0.91319
places,0456.jpg,16,0.66371
screenshots,0032.jpg,1,0.00221
screenshots,0132.jpg,4,0.35978
screenshots,0359.jpg,1,0.96067
screenshots,0080.jpg,1,0.22997
screenshots,0228.jpg,1,0.00788
screenshots,0270.jpg,0,0.00000
screenshots,0249.jpg,2,0.02851
screenshots,0287.jpg,1,0.00595
screenshots,0309.jpg,0,0.00000
screenshots,0386.jpg,1,0.00016
screenshots,0000.jpg,7,0.94083
screenshots,0019.jpg,1,0.95158
screenshots,0253.jpg,0,0.00000
screenshots,0166.jpg,20,0.75476
screenshots,0159.jpg,10,0.26068
screenshots,0239.jpg,19,0.50885
screenshots,0025.jpg,0,0.00000
screenshots,0212.jpg,5,0.01788
screenshots,0096.jpg,8,0.26915
screenshots,0280.jpg,5,0.01788
screenshots,0324.jpg,0,0.00000
screenshots,0042.jpg,1,0.00164
screenshots,0371.jpg,0,0.00000
screenshots,0066.jpg,12,0.05226
screenshots,0007.jpg,12,0.49968
screenshots,0205.jpg,8,0.97458
screenshots,0347.jpg,5,0.79389
screenshots,0213.jpg,3,0.33940
screenshots,0161.jpg,0,0.00000
screenshots,0001.jpg,0,0.00000
screenshots,0109.jpg,0,0.00000
screenshots,0367.jpg,1,0.04908
screenshots,0345.jpg,1,0.00010
screenshots,0313.jpg,0,0.00000
screenshots,0050.jpg,1,0.02971
screenshots,0097.jpg,0,0.00000
screenshots,0060.jpg,8,0.87955
screenshots,0311.jpg,20,0.75476
screenshots,0332.jpg,0,0.00000
screenshots,0101.jpg,26,0.52168
screenshots,0154.jpg,2,0.00495
screenshots,0143.jpg,20,0.75476
screenshots,0352.jpg,6,0.85066
screenshots,0093.jpg,2,0.24421
screenshots,0051.jpg,0,0.00000
screenshots,0243.jpg,3,0.03055
screenshots,0203.jpg,32,0.81606
screenshots,0321.jpg,3,0.07859
screenshots,0041.jpg,0,0.00000
screenshots,0011.jpg,13,0.04908
screenshots,0140.jpg,6,0.95632
screenshots,0231.jpg,3,0.00003
screenshots,0059.jpg,13,0.94608
screenshots,0131.jpg,0,0.00000
screenshots,0068.jpg,2,0.00193
screenshots,0334.jpg,0,0.00000
screenshots,0266.jpg,1,0.00649
screenshots,0333.jpg,0,0.00000
screenshots,0330.jpg,2,0.03563
screenshots,0177.jpg,2,0.35673
synthetic_black,0007.jpg,0,0.00000
synthetic_black,0055.jpg,0,0.00000
synthetic_black,0009.jpg,0,0.00000
synthetic_black,0017.jpg,0,0.00000
synthetic_black,0054.jpg,0,0.00000
synthetic_black,0001.jpg,0,0.00000
synthetic_black,0002.jpg,0,0.00000
synthetic_black,0053.jpg,0,0.00000
synthetic_black,0013.jpg,0,0.00000
synthetic_black,0043.jpg,0,0.00000
synthetic_black,0016.jpg,0,0.00000
synthetic_black,0035.jpg,0,0.00000
synthetic_black,0020.jpg,0,0.00000
synthetic_black,0023.jpg,0,0.00000
synthetic_black,0036.jpg,0,0.00000
synthetic_black,0052.jpg,0,0.00000
synthetic_black,0038.jpg,0,0.00000
synthetic_black,0041.jpg,0,0.00000
synthetic_black,0031.jpg,0,0.00000
synthetic_black,0029.jpg,0,0.00000
synthetic_black,0027.jpg,0,0.00000
synthetic_black,0046.jpg,0,0.00000
synthetic_black,0034.jpg,0,0.00000
synthetic_black,0011.jpg,0,0.00000
synthetic_black,0051.jpg,0,0.00000
synthetic_black,0024.jpg,0,0.00000
synthetic_black,0018.jpg,0,0.00000
synthetic_black,0000.jpg,0,0.00000
synthetic_black,0008.jpg,0,0.00000
synthetic_black,0004.jpg,0,0.00000
synthetic_black,0042.jpg,0,0.00000
synthetic_black,0010.jpg,0,0.00000
synthetic_black,0028.jpg,0,0.00000
synthetic_black,0025.jpg,0,0.00000
synthetic_black,0045.jpg,0,0.00000
synthetic_black,0022.jpg,0,0.00000
synthetic_black,0044.jpg,0,0.00000
synthetic_black,0039.jpg,0,0.00000
synthetic_black,0019.jpg,0,0.00000
synthetic_black,0058.jpg,0,0.00000
synthetic_black,0047.jpg,0,0.00000
synthetic_black,0040.jpg,0,0.00000
synthetic_black,0005.jpg,0,0.00000
synthetic_black,0030.jpg,0,0.00000
synthetic_black,0057.jpg,0,0.00000
synthetic_black,0056.jpg,0,0.00000
synthetic_black,0006.jpg,0,0.00000
synthetic_black,0033.jpg,0,0.00000
synthetic_black,0050.jpg,0,0.00000
synthetic_black,0049.jpg,0,0.00000
synthetic_black,0021.jpg,0,0.00000
synthetic_black,0059.jpg,0,0.00000
synthetic_black,0003.jpg,0,0.00000
synthetic_black,0032.jpg,0,0.00000
synthetic_black,0026.jpg,0,0.00000
synthetic_black,0015.jpg,0,0.00000
synthetic_black,0048.jpg,0,0.00000
synthetic_black,0037.jpg,0,0.00000
synthetic_black,0014.jpg,0,0.00000
synthetic_black,0012.jpg,0,0.00000
synthetic_blank,0019.jpg,0,0.00000
synthetic_blank,0026.jpg,0,0.00000
synthetic_blank,0006.jpg,0,0.00000
synthetic_blank,0057.jpg,0,0.00000
synthetic_blank,0035.jpg,0,0.00000
synthetic_blank,0030.jpg,0,0.00000
synthetic_blank,0054.jpg,0,0.00000
synthetic_blank,0021.jpg,0,0.00000
synthetic_blank,0051.jpg,0,0.00000
synthetic_blank,0052.jpg,0,0.00000
synthetic_blank,0007.jpg,0,0.00000
synthetic_blank,0053.jpg,0,0.00000
synthetic_blank,0049.jpg,0,0.00000
synthetic_blank,0044.jpg,0,0.00000
synthetic_blank,0031.jpg,0,0.00000
synthetic_blank,0027.jpg,0,0.00000
synthetic_blank,0002.jpg,0,0.00000
synthetic_blank,0059.jpg,0,0.00000
synthetic_blank,0050.jpg,0,0.00000
synthetic_blank,0009.jpg,0,0.00000
synthetic_blank,0010.jpg,0,0.00000
synthetic_blank,0036.jpg,0,0.00000
synthetic_blank,0024.jpg,0,0.00000
synthetic_blank,0005.jpg,0,0.00000
synthetic_blank,0004.jpg,0,0.00000
synthetic_blank,0038.jpg,0,0.00000
synthetic_blank,0012.jpg,0,0.00000
synthetic_blank,0014.jpg,0,0.00000
synthetic_blank,0003.jpg,0,0.00000
synthetic_blank,0033.jpg,0,0.00000
synthetic_blank,0000.jpg,0,0.00000
synthetic_blank,0045.jpg,0,0.00000
synthetic_blank,0048.jpg,0,0.00000
synthetic_blank,0017.jpg,0,0.00000
synthetic_blank,0016.jpg,0,0.00000
synthetic_blank,0040.jpg,0,0.00000
synthetic_blank,0032.jpg,0,0.00000
synthetic_blank,0015.jpg,0,0.00000
synthetic_blank,0018.jpg,0,0.00000
synthetic_blank,0056.jpg,0,0.00000
synthetic_blank,0013.jpg,0,0.00000
synthetic_blank,0043.jpg,0,0.00000
synthetic_blank,0011.jpg,0,0.00000
synthetic_blank,0047.jpg,0,0.00000
synthetic_blank,0008.jpg,0,0.00000
synthetic_blank,0037.jpg,0,0.00000
synthetic_blank,0046.jpg,0,0.00000
synthetic_blank,0041.jpg,0,0.00000
synthetic_blank,0020.jpg,0,0.00000
synthetic_blank,0028.jpg,0,0.00000
synthetic_blank,0034.jpg,0,0.00000
synthetic_blank,0001.jpg,0,0.00000
synthetic_blank,0022.jpg,0,0.00000
synthetic_blank,0058.jpg,0,0.00000
synthetic_blank,0023.jpg,0,0.00000
synthetic_blank,0029.jpg,0,0.00000
synthetic_blank,0039.jpg,0,0.00000
synthetic_blank,0042.jpg,0,0.00000
synthetic_blank,0055.jpg,0,0.00000
synthetic_blank,0025.jpg,0,0.00000
synthetic_blur,0063.jpg,0,0.00000
synthetic_blur,0050.jpg,0,0.00000
synthetic_blur,0032.jpg,0,0.00000
synthetic_blur,0026.jpg,0,0.00000
synthetic_blur,0082.jpg,0,0.00000
synthetic_blur,0005.jpg,0,0.00000
synthetic_blur,0027.jpg,0,0.00000
synthetic_blur,0079.jpg,0,0.00000
synthetic_blur,0018.jpg,0,0.00000
synthetic_blur,0013.jpg,0,0.00000
synthetic_blur,0025.jpg,0,0.00000
synthetic_blur,0058.jpg,0,0.00000
synthetic_blur,0048.jpg,0,0.00000
synthetic_blur,0046.jpg,0,0.00000
synthetic_blur,0069.jpg,0,0.00000
synthetic_blur,0019.jpg,0,0.00000
synthetic_blur,0090.jpg,0,0.00000
synthetic_blur,0076.jpg,0,0.00000
synthetic_blur,0062.jpg,0,0.00000
synthetic_blur,0091.jpg,0,0.00000
synthetic_blur,0072.jpg,0,0.00000
synthetic_blur,0051.jpg,0,0.00000
synthetic_blur,0054.jpg,0,0.00000
synthetic_blur,0066.jpg,0,0.00000
synthetic_blur,0099.jpg,0,0.00000
synthetic_blur,0041.jpg,0,0.00000
synthetic_blur,0075.jpg,0,0.00000
synthetic_blur,0073.jpg,0,0.00000
synthetic_blur,0089.jpg,0,0.00000
synthetic_blur,0085.jpg,0,0.00000
synthetic_blur,0028.jpg,0,0.00000
synthetic_blur,0001.jpg,0,0.00000
synthetic_blur,0043.jpg,0,0.00000
synthetic_blur,0040.jpg,0,0.00000
synthetic_blur,0074.jpg,0,0.00000
synthetic_blur,0004.jpg,0,0.00000
synthetic_blur,0080.jpg,0,0.00000
synthetic_blur,0055.jpg,0,0.00000
synthetic_blur,0016.jpg,0,0.00000
synthetic_blur,0038.jpg,0,0.00000
synthetic_blur,0098.jpg,0,0.00000
synthetic_blur,0009.jpg,0,0.00000
synthetic_blur,0053.jpg,0,0.00000
synthetic_blur,0024.jpg,0,0.00000
synthetic_blur,0037.jpg,0,0.00000
synthetic_blur,0092.jpg,0,0.00000
synthetic_blur,0045.jpg,0,0.00000
synthetic_blur,0057.jpg,0,0.00000
synthetic_blur,0078.jpg,0,0.00000
synthetic_blur,0030.jpg,0,0.00000
synthetic_blur,0064.jpg,0,0.00000
synthetic_blur,0094.jpg,0,0.00000
synthetic_blur,0033.jpg,0,0.00000
synthetic_blur,0002.jpg,0,0.00000
synthetic_blur,0049.jpg,0,0.00000
synthetic_blur,0014.jpg,0,0.00000
synthetic_blur,0008.jpg,0,0.00000
synthetic_blur,0086.jpg,0,0.00000
synthetic_blur,0084.jpg,0,0.00000
synthetic_blur,0000.jpg,0,0.00000
synthetic_finger,0057.jpg,0,0.00000
synthetic_finger,0042.jpg,0,0.00000
synthetic_finger,0020.jpg,0,0.00000
synthetic_finger,0019.jpg,0,0.00000
synthetic_finger,0058.jpg,0,0.00000
synthetic_finger,0047.jpg,0,0.00000
synthetic_finger,0064.jpg,0,0.00000
synthetic_finger,0048.jpg,0,0.00000
synthetic_finger,0067.jpg,0,0.00000
synthetic_finger,0073.jpg,0,0.00000
synthetic_finger,0004.jpg,0,0.00000
synthetic_finger,0011.jpg,0,0.00000
synthetic_finger,0066.jpg,0,0.00000
synthetic_finger,0009.jpg,0,0.00000
synthetic_finger,0054.jpg,0,0.00000
synthetic_finger,0026.jpg,0,0.00000
synthetic_finger,0037.jpg,0,0.00000
synthetic_finger,0034.jpg,0,0.00000
synthetic_finger,0079.jpg,0,0.00000
synthetic_finger,0038.jpg,0,0.00000
synthetic_finger,0070.jpg,0,0.00000
synthetic_finger,0052.jpg,0,0.00000
synthetic_finger,0030.jpg,0,0.00000
synthetic_finger,0065.jpg,0,0.00000
synthetic_finger,0050.jpg,0,0.00000
synthetic_finger,0024.jpg,0,0.00000
synthetic_finger,0060.jpg,0,0.00000
synthetic_finger,0063.jpg,0,0.00000
synthetic_finger,0014.jpg,0,0.00000
synthetic_finger,0001.jpg,0,0.00000
synthetic_finger,0078.jpg,0,0.00000
synthetic_finger,0000.jpg,0,0.00000
synthetic_finger,0074.jpg,0,0.00000
synthetic_finger,0068.jpg,0,0.00000
synthetic_finger,0076.jpg,0,0.00000
synthetic_finger,0032.jpg,0,0.00000
synthetic_finger,0036.jpg,0,0.00000
synthetic_finger,0016.jpg,0,0.00000
synthetic_finger,0021.jpg,0,0.00000
synthetic_finger,0069.jpg,0,0.00000
synthetic_finger,0031.jpg,0,0.00000
synthetic_finger,0049.jpg,0,0.00000
synthetic_finger,0045.jpg,0,0.00000
synthetic_finger,0059.jpg,0,0.00000
synthetic_finger,0056.jpg,0,0.00000
synthetic_finger,0035.jpg,0,0.00000
synthetic_finger,0003.jpg,0,0.00000
synthetic_finger,0010.jpg,0,0.00000
synthetic_finger,0008.jpg,0,0.00000
synthetic_finger,0007.jpg,0,0.00000
synthetic_finger,0071.jpg,0,0.00000
synthetic_finger,0023.jpg,0,0.00000
synthetic_finger,0043.jpg,0,0.00000
synthetic_finger,0044.jpg,0,0.00000
synthetic_finger,0055.jpg,0,0.00000
synthetic_finger,0025.jpg,0,0.00000
synthetic_finger,0015.jpg,0,0.00000
synthetic_finger,0013.jpg,0,0.00000
synthetic_finger,0040.jpg,0,0.00000
synthetic_finger,0028.jpg,0,0.00000
