path,label
data\raw\Positive\Unlabelled\365.jpg,positive
data\raw\Positive\Unlabelled\104.jpg,positive
data\raw\Positive\Unlabelled\386.jpg,positive
data\raw\Positive\Unlabelled\113.jpg,positive
data\raw\Positive\Unlabelled\180.jpg,positive
data\raw\Negative\Clear\130.jpg,negative
data\raw\Positive\Unlabelled\243.jpg,positive
data\raw\Positive\Unlabelled\193.jpg,positive
data\raw\Positive\Unlabelled\79.jpg,positive
data\raw\Positive\Unlabelled\141.jpg,positive
data\raw\Positive\Unlabelled\166.jpg,positive
data\raw\Positive\Unlabelled\203.jpg,positive
data\raw\Negative\Clear\54.jpg,negative
data\raw\Negative\Clear\109.jpg,negative
data\raw\Positive\Unlabelled\93.jpg,positive
data\raw\Positive\Unlabelled\418.jpg,positive
data\raw\Positive\Unlabelled\337.jpg,positive
data\raw\Negative\Clear\98.jpg,negative
data\raw\Positive\Unlabelled\262.jpg,positive
data\raw\Negative\Clear\104.jpg,negative
data\raw\Negative\Clear\37.jpg,negative
data\raw\Negative\Clear\7.jpg,negative
data\raw\Positive\Unlabelled\99.jpg,positive
data\raw\Positive\Unlabelled\72.jpg,positive
data\raw\Positive\Unlabelled\359.jpg,positive
data\raw\Positive\Unlabelled\75.jpg,positive
data\raw\Positive\Unlabelled\33.jpg,positive
data\raw\Positive\Unlabelled\96.jpg,positive
data\raw\Positive\Unlabelled\369.jpg,positive
data\raw\Positive\Unlabelled\129.jpg,positive
data\raw\Positive\Unlabelled\357.jpg,positive
data\raw\Positive\Unlabelled\419.jpg,positive
data\raw\Negative\Clear\32.jpg,negative
data\raw\Positive\Unlabelled\220.jpg,positive
data\raw\Positive\Unlabelled\1.jpg,positive
data\raw\Positive\Unlabelled\361.jpg,positive
data\raw\Positive\Unlabelled\261.jpg,positive
data\raw\Positive\Unlabelled\340.jpg,positive
data\raw\Positive\Unlabelled\326.jpg,positive
data\raw\Positive\Unlabelled\270.jpg,positive
data\raw\Negative\Clear\55.jpg,negative
data\raw\Positive\Unlabelled\366.jpg,positive
data\raw\Negative\Clear\86.jpg,negative
data\raw\Negative\Clear\123.jpg,negative
data\raw\Negative\Clear\14.jpg,negative
data\raw\Positive\Unlabelled\110.jpg,positive
data\raw\Positive\Unlabelled\198.jpg,positive
data\raw\Positive\Unlabelled\150.jpg,positive
data\raw\Negative\Clear\116.jpg,negative
data\raw\Positive\Unlabelled\374.jpg,positive
data\raw\Negative\Clear\25.jpg,negative
data\raw\Positive\Unlabelled\346.jpg,positive
data\raw\Positive\Unlabelled\259.jpg,positive
data\raw\Positive\Unlabelled\266.jpg,positive
data\raw\Negative\Clear\75.jpg,negative
data\raw\Positive\Unlabelled\42.jpg,positive
data\raw\Positive\Unlabelled\330.jpg,positive
data\raw\Negative\Clear\36.jpg,negative
data\raw\Positive\Unlabelled\132.jpg,positive
data\raw\Positive\Unlabelled\268.jpg,positive
data\raw\Positive\Unlabelled\106.jpg,positive
data\raw\Positive\Unlabelled\245.jpg,positive
data\raw\Negative\Clear\131.jpg,negative
data\raw\Positive\Unlabelled\274.jpg,positive
data\raw\Negative\Clear\91.jpg,negative
data\raw\Negative\Clear\82.jpg,negative
data\raw\Positive\Unlabelled\312.jpg,positive
data\raw\Negative\Clear\110.jpg,negative
data\raw\Positive\Unlabelled\82.jpg,positive
data\raw\Positive\Unlabelled\371.jpg,positive
data\raw\Positive\Unlabelled\210.jpg,positive
data\raw\Negative\Clear\11.jpg,negative
data\raw\Negative\Clear\120.jpg,negative
data\raw\Positive\Unlabelled\345.jpg,positive
data\raw\Positive\Unlabelled\35.jpg,positive
data\raw\Positive\Unlabelled\236.jpg,positive
data\raw\Positive\Unlabelled\170.jpg,positive
data\raw\Negative\Clear\101.jpg,negative
data\raw\Positive\Unlabelled\100.jpg,positive
data\raw\Positive\Unlabelled\269.jpg,positive
data\raw\Positive\Unlabelled\3.jpg,positive
data\raw\Negative\Clear\24.jpg,negative
data\raw\Negative\Clear\42.jpg,negative
data\raw\Negative\Clear\105.jpg,negative
data\raw\Positive\Unlabelled\103.jpg,positive
data\raw\Negative\Clear\58.jpg,negative
data\raw\Negative\Clear\119.jpg,negative
data\raw\Negative\Clear\67.jpg,negative
data\raw\Negative\Clear\122.jpg,negative
data\raw\Positive\Unlabelled\381.jpg,positive
data\raw\Positive\Unlabelled\117.jpg,positive
data\raw\Positive\Unlabelled\206.jpg,positive
data\raw\Positive\Unlabelled\301.jpg,positive
data\raw\Negative\Clear\28.jpg,negative
data\raw\Positive\Unlabelled\135.jpg,positive
data\raw\Negative\Clear\74.jpg,negative
data\raw\Positive\Unlabelled\9.jpg,positive
data\raw\Positive\Unlabelled\74.jpg,positive
data\raw\Positive\Unlabelled\142.jpg,positive
data\raw\Positive\Unlabelled\22.jpg,positive
data\raw\Positive\Unlabelled\191.jpg,positive
data\raw\Positive\Unlabelled\341.jpg,positive
data\raw\Negative\Clear\107.jpg,negative
data\raw\Positive\Unlabelled\195.jpg,positive
data\raw\Positive\Unlabelled\316.jpg,positive
data\raw\Negative\Clear\39.jpg,negative
data\raw\Positive\Unlabelled\199.jpg,positive
data\raw\Negative\Clear\102.jpg,negative
data\raw\Negative\Clear\50.jpg,negative
data\raw\Positive\Unlabelled\63.jpg,positive
data\raw\Positive\Unlabelled\392.jpg,positive
data\raw\Positive\Unlabelled\156.jpg,positive
data\raw\Positive\Unlabelled\329.jpg,positive
data\raw\Positive\Unlabelled\14.jpg,positive
data\raw\Positive\Unlabelled\237.jpg,positive
data\raw\Positive\Unlabelled\109.jpg,positive
data\raw\Negative\Clear\108.jpg,negative
data\raw\Positive\Unlabelled\159.jpg,positive
data\raw\Negative\Clear\87.jpg,negative
data\raw\Positive\Unlabelled\172.jpg,positive
data\raw\Positive\Unlabelled\131.jpg,positive
data\raw\Positive\Unlabelled\333.jpg,positive
data\raw\Negative\Clear\41.jpg,negative
data\raw\Positive\Unlabelled\53.jpg,positive
data\raw\Positive\Unlabelled\13.jpg,positive
data\raw\Negative\Clear\127.jpg,negative
data\raw\Positive\Unlabelled\244.jpg,positive
data\raw\Positive\Unlabelled\76.jpg,positive
data\raw\Positive\Unlabelled\396.jpg,positive
data\raw\Negative\Clear\53.jpg,negative
data\raw\Positive\Unlabelled\250.jpg,positive
data\raw\Positive\Unlabelled\111.jpg,positive
data\raw\Negative\Clear\20.jpg,negative
data\raw\Positive\Unlabelled\67.jpg,positive
data\raw\Positive\Unlabelled\322.jpg,positive
data\raw\Negative\Clear\27.jpg,negative
data\raw\Positive\Unlabelled\216.jpg,positive
data\raw\Negative\Clear\93.jpg,negative
data\raw\Negative\Clear\126.jpg,negative
data\raw\Positive\Unlabelled\174.jpg,positive
data\raw\Positive\Unlabelled\379.jpg,positive
data\raw\Positive\Unlabelled\272.jpg,positive
data\raw\Positive\Unlabelled\362.jpg,positive
data\raw\Positive\Unlabelled\122.jpg,positive
data\raw\Positive\Unlabelled\248.jpg,positive
data\raw\Positive\Unlabelled\380.jpg,positive
data\raw\Negative\Clear\143.jpg,negative
data\raw\Positive\Unlabelled\162.jpg,positive
data\raw\Positive\Unlabelled\212.jpg,positive
data\raw\Positive\Unlabelled\256.jpg,positive
data\raw\Positive\Unlabelled\399.jpg,positive
data\raw\Positive\Unlabelled\394.jpg,positive
data\raw\Negative\Clear\92.jpg,negative
data\raw\Positive\Unlabelled\114.jpg,positive
data\raw\Positive\Unlabelled\352.jpg,positive
data\raw\Positive\Unlabelled\204.jpg,positive
data\raw\Positive\Unlabelled\80.jpg,positive
data\raw\Positive\Unlabelled\387.jpg,positive
data\raw\Positive\Unlabelled\175.jpg,positive
data\raw\Negative\Clear\8.jpg,negative
data\raw\Positive\Unlabelled\342.jpg,positive
data\raw\Negative\Clear\72.jpg,negative
data\raw\Positive\Unlabelled\290.jpg,positive
data\raw\Positive\Unlabelled\32.jpg,positive
data\raw\Positive\Unlabelled\66.jpg,positive
data\raw\Positive\Unlabelled\153.jpg,positive
data\raw\Positive\Unlabelled\25.jpg,positive
data\raw\Positive\Unlabelled\405.jpg,positive
data\raw\Positive\Unlabelled\16.jpg,positive
data\raw\Positive\Unlabelled\372.jpg,positive
data\raw\Positive\Unlabelled\241.jpg,positive
data\raw\Negative\Clear\85.jpg,negative
data\raw\Positive\Unlabelled\258.jpg,positive
data\raw\Positive\Unlabelled\173.jpg,positive
data\raw\Positive\Unlabelled\86.jpg,positive
data\raw\Positive\Unlabelled\102.jpg,positive
data\raw\Negative\Clear\129.jpg,negative
data\raw\Positive\Unlabelled\121.jpg,positive
data\raw\Positive\Unlabelled\334.jpg,positive
data\raw\Positive\Unlabelled\90.jpg,positive
data\raw\Positive\Unlabelled\400.jpg,positive
data\raw\Positive\Unlabelled\307.jpg,positive
data\raw\Positive\Unlabelled\190.jpg,positive
data\raw\Positive\Unlabelled\292.jpg,positive
data\raw\Positive\Unlabelled\108.jpg,positive
data\raw\Positive\Unlabelled\192.jpg,positive
data\raw\Positive\Unlabelled\189.jpg,positive
data\raw\Negative\Clear\40.jpg,negative
data\raw\Negative\Clear\60.jpg,negative
data\raw\Positive\Unlabelled\282.jpg,positive
data\raw\Positive\Unlabelled\118.jpg,positive
data\raw\Positive\Unlabelled\83.jpg,positive
data\raw\Positive\Unlabelled\420.jpg,positive
data\raw\Positive\Unlabelled\177.jpg,positive
data\raw\Positive\Unlabelled\38.jpg,positive
data\raw\Positive\Unlabelled\373.jpg,positive
data\raw\Negative\Clear\35.jpg,negative
data\raw\Positive\Unlabelled\119.jpg,positive
data\raw\Positive\Unlabelled\7.jpg,positive
data\raw\Negative\Clear\80.jpg,negative
data\raw\Negative\Clear\4.jpg,negative
data\raw\Positive\Unlabelled\47.jpg,positive
data\raw\Positive\Unlabelled\194.jpg,positive
data\raw\Positive\Unlabelled\321.jpg,positive
data\raw\Positive\Unlabelled\182.jpg,positive
data\raw\Positive\Unlabelled\89.jpg,positive
data\raw\Positive\Unlabelled\44.jpg,positive
data\raw\Positive\Unlabelled\112.jpg,positive
data\raw\Positive\Unlabelled\384.jpg,positive
data\raw\Positive\Unlabelled\422.jpg,positive
data\raw\Positive\Unlabelled\164.jpg,positive
data\raw\Positive\Unlabelled\98.jpg,positive
data\raw\Positive\Unlabelled\107.jpg,positive
data\raw\Negative\Clear\70.jpg,negative
data\raw\Positive\Unlabelled\218.jpg,positive
data\raw\Positive\Unlabelled\239.jpg,positive
data\raw\Negative\Clear\137.jpg,negative
data\raw\Negative\Clear\12.jpg,negative
data\raw\Positive\Unlabelled\302.jpg,positive
data\raw\Positive\Unlabelled\126.jpg,positive
data\raw\Negative\Clear\135.jpg,negative
data\raw\Negative\Clear\16.jpg,negative
data\raw\Negative\Clear\114.jpg,negative
data\raw\Negative\Clear\66.jpg,negative
data\raw\Positive\Unlabelled\71.jpg,positive
data\raw\Positive\Unlabelled\51.jpg,positive
data\raw\Positive\Unlabelled\257.jpg,positive
data\raw\Positive\Unlabelled\298.jpg,positive
data\raw\Negative\Clear\124.jpg,negative
data\raw\Positive\Unlabelled\412.jpg,positive
data\raw\Positive\Unlabelled\324.jpg,positive
data\raw\Positive\Unlabelled\167.jpg,positive
data\raw\Positive\Unlabelled\15.jpg,positive
data\raw\Positive\Unlabelled\233.jpg,positive
data\raw\Negative\Clear\147.jpg,negative
data\raw\Positive\Unlabelled\18.jpg,positive
data\raw\Negative\Clear\133.jpg,negative
data\raw\Positive\Unlabelled\318.jpg,positive
data\raw\Negative\Clear\79.jpg,negative
data\raw\Positive\Unlabelled\279.jpg,positive
data\raw\Positive\Unlabelled\402.jpg,positive
data\raw\Positive\Unlabelled\23.jpg,positive
data\raw\Positive\Unlabelled\128.jpg,positive
